user_id,cat1,cat2,cat3,numeric1,target
1,1,1,1,2.855962544876327,0.6982823697003429
1,2,1,2,0.6031924864411764,0.24398426165452547
1,3,1,3,7.6271073308797535,0.15357816131684
1,4,1,4,9.05791696671825,0.8945506680757604
1,5,1,5,0.5533907094096957,0.043119333537728455
1,6,1,6,6.057588026422377,0.5019758108795797
1,7,1,7,9.085116342938175,0.047852476946614875
1,8,1,8,2.673565535258576,0.6573302864845627
1,9,1,9,7.020758660033339,0.6158960741371597
1,10,1,10,5.225062611921912,0.6044532486361688
1,11,1,11,8.44375401047955,0.6568045666809081
1,12,1,12,3.100865090546735,0.8151329468669135
1,13,1,13,3.4430497615891067,0.16340876434848073
1,14,1,14,2.342610927427854,0.6409369960818911
1,15,1,15,0.14631197444670563,0.7756533332464962
1,16,1,16,3.808331427848767,0.6589500713521479
1,17,1,17,7.719899702882599,0.3595914802464566
1,18,1,18,5.450765064915276,0.3719734891688431
1,19,1,19,9.824062885367045,0.8197257565618348
1,20,1,20,7.232624705092063,0.6967793597080378
1,21,1,21,8.878086491181476,0.6862718049636177
1,22,1,22,4.08369010131945,0.8478604088526114
1,23,1,23,3.93430558982094,0.34172841023225464
1,24,1,24,7.169912043395589,0.827222983753175
1,25,1,25,8.429276842019966,0.8034048601873963
1,26,1,26,8.438117329879638,0.13741934955852964
1,27,1,27,2.6342664302481067,0.2898148152150848
1,28,1,28,9.80565776328152,0.594811337332978
1,29,1,29,2.027324394567972,0.4673327768012291
1,30,1,30,2.347903354831984,0.09195058766595099
1,31,1,31,5.833390272310903,0.7463934162503463
1,32,1,32,9.921242896205825,0.8524674820143271
1,33,1,33,0.312531752827776,0.28503389195877316
1,34,1,34,0.9844857698210951,0.7925357503328215
1,35,1,35,5.40881825254166,0.052402910997352614
1,36,1,36,6.538809824663501,0.9249108500115136
1,37,1,37,2.739633124605506,0.46167614582971483
1,38,1,38,5.336375418680285,0.41957802764328234
1,39,1,39,6.980304559180832,0.19182811549811662
1,40,1,40,8.916058477324162,0.9941101873530894
1,41,2,1,2.1931550559075563,0.16695317548652766
1,42,2,2,3.316891254272641,0.08087480492290755
1,43,2,3,0.5152335023738785,0.8613457215565167
1,44,2,4,6.14100455654098,0.7566478914679984
1,45,2,5,6.693667118117631,0.3453178650631836
1,46,2,6,5.370818494750676,0.7503341453319223
1,47,2,7,5.95350326288774,0.5311232114217691
1,48,2,8,5.141499012255091,0.42517710904568873
1,49,2,9,5.981452964331937,0.3397638785911027
1,50,2,10,1.8274521253556963,0.07882860458149565
1,51,2,11,8.386729885381927,0.9490947260156355
1,52,2,12,7.262692053795762,0.5978727306199654
1,53,2,13,0.7611634298745162,0.2754779318182333
1,54,2,14,5.078865394524752,0.15008882934318835
1,55,2,15,0.81030970920831,0.39901204536520496
1,56,2,16,1.5660839444365093,0.224627623457053
1,57,2,17,9.393016545006995,0.7546488701462946
1,58,2,18,5.003419203095331,0.6493484795845051
1,59,2,19,4.922327840478948,0.05095674244300885
1,60,2,20,9.493456196042873,0.8975324123030266
1,61,2,21,2.756877670435901,0.5137069512511808
1,62,2,22,9.078433047823301,0.9622954044300892
1,63,2,23,9.232257210622489,0.994364956714213
1,64,2,24,0.5508624534309547,0.3049993036446781
1,65,2,25,5.590210927242257,0.5345672306389436
1,66,2,26,4.698407307334906,0.3130200618503147
1,67,2,27,4.724851025803122,0.2729778643738261
1,68,2,28,6.746665720206085,0.7468462078893892
1,69,2,29,4.8548600253782,0.26324616595001693
1,70,2,30,5.920746110309313,0.7788657709302313
1,71,2,31,3.825865715820579,0.9055406074425755
1,72,2,32,0.7119002977101963,0.6864792329625423
1,73,2,33,4.225168126063177,0.49517791181919113
1,74,2,34,2.9664612841588776,0.05243422314677093
1,75,2,35,8.159157634991661,0.2647559682087022
1,76,2,36,8.221662459129018,0.28920842474382913
1,77,2,37,4.829754055451573,0.6688263512032651
1,78,2,38,7.2166473242148665,0.7767237386328238
1,79,2,39,2.534828029672286,0.8616353561039986
1,80,2,40,8.05568069516068,0.6591781210921454
1,81,3,1,2.429141740411853,0.022155519790646006
1,82,3,2,9.372997997396148,0.15592362019737416
1,83,3,3,1.8565378353173911,0.4982426878382372
1,84,3,4,5.204060036226381,0.07107500778339149
1,85,3,5,4.985263133155432,0.13542951639237566
1,86,3,6,3.7248420353289324,0.6883593709480655
1,87,3,7,3.7867931764159657,0.736192480786872
1,88,3,8,9.79992968265066,0.4803043182727137
1,89,3,9,6.846200020404681,0.5705621117091902
1,90,3,10,3.778749209559975,0.14581863973996667
1,91,3,11,6.722226339448309,0.756136454528073
1,92,3,12,5.655770099884116,0.9618701163655601
1,93,3,13,9.775453477412585,0.9225745566845952
1,94,3,14,4.858591264007793,0.6879640816138928
1,95,3,15,0.6137472812562728,0.5605542306047112
1,96,3,16,7.349081443504097,0.5095607633897618
1,97,3,17,5.826033362798214,0.30827349386699354
1,98,3,18,1.8552451601071995,0.20785074081157484
1,99,3,19,7.53310635721747,0.8654323925882103
1,100,3,20,4.872533952349796,0.5842496324008453
1,101,3,21,0.34391599347483814,0.2206491839404413
1,102,3,22,8.102769405091161,0.8165771080824653
1,103,3,23,8.338519150310832,0.7172036798397609
1,104,3,24,2.65319775948073,0.2299214666103201
1,105,3,25,8.180779128434017,0.6109385888970891
1,106,3,26,6.433693389872342,0.813698132290021
1,107,3,27,9.766180586664264,0.8368289929154493
1,108,3,28,2.598343500791268,0.9146339645241564
1,109,3,29,4.174638088516578,0.46460713486391614
1,110,3,30,2.346000486412957,0.22694245343316521
1,111,3,31,1.5828779845823948,0.4179892115184738
1,112,3,32,8.39456114464912,0.0014728961924354023
1,113,3,33,6.803777823507176,0.5679046471232714
1,114,3,34,1.4099896948875767,0.1074789316655379
1,115,3,35,3.757879121004175,0.7971228943005325
1,116,3,36,8.075548138185278,0.6683151732505687
1,117,3,37,3.814726859200843,0.3963806007899958
1,118,3,38,5.212595537473998,0.20513885614355987
1,119,3,39,5.306232041174793,0.19390753002068695
1,120,3,40,4.680960649058809,0.5586111404058955
1,88,1,1,5.8654982410865175,0.8909212374759081
1,23,1,2,9.649589702616415,0.8094417640153687
1,74,1,3,3.9831453535534878,0.3348019768363193
1,26,1,4,1.853113805537726,0.793230752072415
1,110,1,5,0.5455534422283481,0.21545378094422063
1,24,1,6,2.5816067337078676,0.6831736953572366
1,4,1,7,8.69985937051484,0.7301911542738525
1,98,1,8,3.0235049212893825,0.3241712495589797
1,105,1,9,1.9649850533680868,0.5851802121562759
1,97,1,10,5.714720856382253,0.1853472106392846
1,8,1,11,7.953323103857591,0.02608889624307842
1,76,1,12,3.0308335829189383,0.2508086903172204
1,119,1,13,2.4606343671927133,0.21356718517551587
1,116,1,14,3.724930281531156,0.460921828618547
1,66,1,15,1.1250778247705384,0.09807730072853926
1,18,1,16,8.29168901689063,0.3725210607480933
1,24,1,17,7.681362320050644,0.23062942205884718
1,70,1,18,1.522523725992656,0.790691161715452
1,57,1,19,1.7315981449499074,0.9295589560378109
1,9,1,20,5.261355472966351,0.6842467861703135
1,41,1,21,2.3099445181645075,0.5744871292952998
1,110,1,22,0.7133832598865786,0.8236090052410053
1,99,1,23,9.787654816922693,0.18238910535301367
1,48,1,24,9.74277531083475,0.9977172073652362
1,73,1,25,8.179285248179028,0.44190706329620866
1,28,1,26,1.4903997225774945,0.7511365255498196
1,101,1,27,4.285391596139441,0.30640954575382295
1,98,1,28,1.3815515426206715,0.45949013439814834
1,79,1,29,2.5601292332706493,0.011246882678256576
1,19,1,30,3.1696624140781307,0.2621577272103329
1,85,1,31,6.5991064152948775,0.34997903977787226
1,78,1,32,2.5335813633606286,0.5388917665352722
1,15,1,33,5.076919861212663,0.6604108263554336
1,111,1,34,4.747086918530128,0.8172178030410916
1,26,1,35,2.9206571031281756,0.656338040104688
1,32,1,36,8.756427455487774,0.9938745462664813
1,6,1,37,6.360913227986446,0.454086272060773
1,63,1,38,0.6269453040110728,0.0055796080661372205
1,67,1,39,6.312157105795845,0.9101446164465424
1,22,1,40,9.566866681435556,0.17185063182554716
1,8,2,1,5.717958376538798,0.7101185615542546
1,45,2,2,9.302011715965772,0.16003406951083954
1,118,2,3,0.6877397148824105,0.3302305797657944
1,91,2,4,1.6886955825925565,0.8901316722412003
1,2,2,5,9.263491002676963,0.8008300738007904
1,70,2,6,1.0809407621454215,0.3237493670822069
1,50,2,7,8.636641700030607,0.83230468084947
1,49,2,8,7.591326725675512,0.8390453560088565
1,65,2,9,7.520684701756743,0.927394298246515
1,87,2,10,9.88171313454675,0.17583071419489626
1,17,2,11,5.626104928730321,0.5415211719249315
1,65,2,12,0.687434499251387,0.4282384835054054
1,25,2,13,2.328930880098233,0.28401331123354223
1,20,2,14,2.111015329786421,0.1760099601052465
1,47,2,15,4.923073104590463,0.9251373632129167
1,67,2,16,7.724180721796902,0.4244227303625817
1,78,2,17,1.9892993184113295,0.7822190230765507
1,31,2,18,5.118157621303487,0.33772231920034
1,83,2,19,7.574296803892756,0.23972513300637288
1,38,2,20,3.4287805270801153,0.9497689060146413
1,62,2,21,5.655278951162846,0.6071869776425571
1,48,2,22,3.58100691201272,0.1480172529681819
1,44,2,23,4.348997650944469,0.7229794875904573
1,20,2,24,3.2253265859903104,0.8855419954630622
